id,name,diameter_min_km,orbits,orbit_dates
3711166,(2015 DY53),0.1460679643,['(2015 DY53)'],['2020-01-02']
3591759,(2011 YE40),0.0242412481,['(2011 YE40)'],['2020-01-01']
3738544,(2015 YG),0.0608912622,"['(2015 YG)', '(2015 YG)']","['2020-01-05', '2018-01-06']"
3755188,(2016 NF22),0.2315021222,"['(2016 NF22)', '(2016 NF22)']","['2020-01-07', '2016-12-31']"
3943370,(2019 YH2),0.0608912622,['(2019 YH2)'],['2020-01-02']
3630817,(2013 EC20),0.0042126461,['(2013 EC20)'],['2020-01-01']
3968763,(2020 AD),0.0096506147,['(2020 AD)'],['2020-01-02']
3748278,(2016 FA4),0.3195618867,['(2016 FA4)'],['2020-01-05']
3747497,(2016 EF195),0.0211132445,['(2016 EF195)'],['2020-01-01']
3968762,(2020 AC),0.0121494041,"['(2020 AC)', '(2020 AC)', '(2020 AC)']","['2020-01-02', '2019-06-15', '2018-09-01']"
